HotelID,Name Hotel,Location,Descriptions,Rating
11,Dream Boutique Hotel,Đà Lạt,"Tọa lạc ở thành phố Đà Lạt, cách Hồ Xuân Hương 2,1 km, Dream Boutique Hotel cung cấp chỗ nghỉ với quầy bar, chỗ đỗ xe riêng miễn phí, sảnh khách chung và khu vườn. Chỗ nghỉ này có các phòng gia đình và sân hiên tắm nắng. Nơi đây cung cấp dịch vụ lễ tân 24 giờ, dịch vụ phòng và dịch vụ thu đổi ngoại tệ cho khách. Tất cả phòng nghỉ tại Dream Boutique Hotel được bố trí khu vực ghế ngồi, TV truyền hình vệ tinh màn hình phẳng, két an toàn, ấm đun nước và phòng tắm riêng với vòi sen, áo choàng tắm cùng dép. Một số phòng có ban công. Mỗi phòng đều được trang bị ga trải giường và khăn tắm. Dream Boutique Hotel phục vụ bữa sáng buffet hằng ngày. Khách sạn nằm cách Công viên Yersin 2,1 km và Quảng trường Lâm Viên 2,3 km. Sân bay gần nhất là sân bay Liên Khương, nằm trong bán kính 30 km từ Dream Boutique Hotel, và chỗ nghỉ cung cấp dịch vụ đưa đón sân bay với một khoản phụ phí.",7.6
13,Aspaces Serviced Apartments - Vinhomes West Point,Hà Nội,"Tọa lạc tại thành phố Hà Nội, cách Sân vận động Mỹ Đình 2,6 km, Aspaces Serviced Apartments - Vinhomes West Point có hồ bơi trong nhà cũng như chỗ nghỉ lắp máy điều hòa với WiFi miễn phí. Các căn tại đây có sàn gỗ parquet, khu vực bếp ăn đầy đủ tiện nghi với lò vi sóng, TV truyền hình cáp màn hình phẳng và phòng tắm riêng đi kèm vòi xịt/chậu rửa vệ sinh cùng áo choàng tắm. Một số căn được bố trí khu vực ghế ngồi và/hoặc ban công. Khách sạn căn hộ này có vườn và sân hiên tắm nắng để du khách thư giãn khi thời tiết cho phép. Aspaces Serviced Apartments - Vinhomes West Point nằm trong bán kính 2,7 km từ trung tâm thương mại Vincom Center Nguyễn Chí Thanh và 3,5 km từ Bảo tàng Dân tộc học Việt Nam. Sân bay gần nhất là sân bay quốc tế Nội Bài, cách đó 23 km, và chỗ nghỉ cung cấp dịch vụ đưa đón sân bay với một khoản phụ phí.",7.4
14,Pistachio Hotel Sapa,Sa Pa,"Nằm ở thị xã Sa Pa, cách Ga cáp treo Fansipan Legend 4,6 km, Pistachio Hotel Sapa cung cấp chỗ nghỉ với nhà hàng, chỗ đỗ xe riêng miễn phí, hồ bơi ngoài trời và trung tâm thể dục. Trong số các tiện nghi của chỗ nghỉ này có dịch vụ phòng, sảnh khách chung và WiFi miễn phí trong toàn bộ khuôn viên. Chỗ nghỉ có hồ bơi trong nhà, nhân viên giải trí và lễ tân 24 giờ. Khách sạn cung cấp phòng nghỉ có máy điều hòa, bàn làm việc, ấm đun nước, minibar, két an toàn, TV màn hình phẳng và phòng tắm riêng với vòi xịt/chậu rửa vệ sinh. Tại Pistachio Hotel Sapa, mỗi phòng đều có ga trải giường và khăn tắm. Chỗ nghỉ phục vụ bữa sáng buffet hàng ngày. Pistachio Hotel Sapa có sân hiên. Các điểm tham quan nổi tiếng gần khách sạn bao gồm Hồ Sa Pa, Nhà thờ Đá Sa Pa và Bến xe Sa Pa. Sân bay gần nhất là sân bay Điện Biên Phủ, nằm trong bán kính 267 km từ Pistachio Hotel Sapa, và chỗ nghỉ cung cấp dịch vụ đưa đón sân bay với một khoản phụ phí.",7.6
15,Sunny Venice Grand World Phú Quốc,Phú Quốc,"Sunny Venice Grand World Phú Quốc tọa lạc tại vị trí thuận tiện ở xã Gành Dầu thuộc thành phố Phú Quốc, cách Bãi biển Vũng Bầu 2,1 km, Sòng bạc Corona 700 m và công viên giải trí Vinpearl Land Phú Quốc 1 km. Chỗ nghỉ này có sân hiên, lễ tân 24 giờ và dịch vụ phòng. Căn hộ gắn máy điều hòa này được bố trí 2 phòng ngủ và 1 phòng tắm với vòi xịt/chậu rửa vệ sinh, vòi sen cùng dép đi trong phòng. Khăn tắm và ga trải giường được cung cấp cho khách. Căn hộ cung cấp cả dịch vụ cho thuê xe đạp lẫn xe hơi trong khi du khách có thể đi xe đạp ở khu vực gần đó. Chùa Sùng Hưng và Nhà thùng Nước mắm đều nằm trong bán kính 16 km từ Sunny Venice Grand World Phú Quốc.",7
17,Green Areca villa,Hội An,"Nơi nghỉ này có hồ bơi riêng ngoài trời và còn cung cấp cho khách xe đạp miễn phí cũng như chỗ đỗ xe riêng miễn phí. Green Areca Villa cách bãi biển gần nhất chỉ 2 km, Hội Quán Triều Châu Trung Quốc 3 km và Bảo tàng Lịch sử Hội An 3,6 km. Sân bay Quốc tế Đà Nẵng cách đó 26 km. Biệt thự có truyền hình cáp màn hình phẳng, minibar và ấm đun nước điện. Ngoài ra còn đi kèm khu vực tiếp khách và phòng tắm riêng với vòi sen cùng máy sấy tóc. Du khách được sử dụng khu vườn, quầy bar bán đồ ăn nhanh và lễ tân 24 giờ. Dịch vụ đưa/đón sân bay có thể được thu xếp kèm phụ phí đồng thời dịch vụ giặt là cũng được cung cấp.",8.3
18,Saigon IDG Suites Collection - Rooftop Pool & Gym,TP. Hồ Chí Minh,"Tọa lạc tại Thành phố Hồ Chí Minh, Saigon IDG Suites Collection - Rooftop Pool & Gym có chỗ nghỉ, nhà hàng, hồ bơi ngoài trời, trung tâm thể dục, vườn, sân hiên và tầm nhìn ra quang cảnh thành phố. Chỗ nghỉ này cung cấp WiFi miễn phí trong toàn bộ khuôn viên. Mỗi căn tại đây đều có khu vực bếp ăn đi kèm lò vi sóng và tủ lạnh, két an toàn, TV truyền hình cáp màn hình phẳng, tiện nghi ủi, bàn làm việc cũng như khu vực ghế ngồi với ghế sofa. Tất cả các căn được bố trí phòng tắm riêng với vòi sen, dép đi trong phòng, máy sấy tóc và đồ vệ sinh cá nhân miễn phí. Căn hộ có sân chơi cho trẻ em. Saigon IDG Suites Collection - Rooftop Pool & Gym cung cấp cả dịch vụ cho thuê xe đạp lẫn xe hơi. Các điểm tham quan nổi tiếng gần chỗ nghỉ bao gồm Bảo tàng Chứng tích Chiến tranh, Dinh Thống Nhất và trung tâm thương mại Diamond Plaza. Sân bay gần nhất là sân bay quốc tế Tân Sơn Nhất, cách Saigon IDG Suites Collection - Rooftop Pool & Gym 12 km.",6.5
19,Sunshine Villa,Đà Lạt,"Chỗ nghỉ này cung cấp dịch vụ lễ tân 24 giờ và dịch vụ phòng cho khách. Tất cả phòng nghỉ tại khách sạn đều được trang bị TV truyền hình vệ tinh màn hình phẳng, ấm đun nước, vòi sen, máy sấy tóc và tủ để quần áo. Các phòng còn có phòng tắm riêng với đồ vệ sinh cá nhân miễn phí. Sunshine Villa nằm cách Thành phố Hồ Chí Minh 4,2 km. Sân bay gần nhất là sân bay quốc tế Tân Sơn Nhất, nằm trong bán kính 5 km từ chỗ nghỉ.",8
20,Dalat Shalala~,Đà Lạt,"Chỗ nghỉ này có dịch vụ phòng và sân hiên. Chỗ nghỉ cung cấp WiFi miễn phí và có thể thu xếp chỗ đỗ xe riêng cho khách với một khoản phụ phí. Phòng nghỉ tại hostel được bố trí tủ để quần áo, TV màn hình phẳng, phòng tắm riêng, ga trải giường, khăn tắm và ấm đun nước. Một số phòng có ban công trong khi các phòng còn lại nhìn ra quang cảnh thành phố. Dalat Shalala~ nằm trong bán kính 2,6 km từ Vườn hoa Đà Lạt và 7 km từ Thiền viện Trúc Lâm. Sân bay gần nhất là sân bay Liên Khương, cách chỗ nghỉ 30 km.",5.7
21,Ruby Hotel,Nha Trang,"Tọa lạc ở thành phố Nha Trang, cách Bãi biển Nha Trang 150 m, Ruby Hotel có dịch vụ nhận phòng/trả phòng cấp tốc, phòng không gây dị ứng, nhà hàng, WiFi miễn phí trong toàn bộ khuôn viên và sảnh khách chung. Chỗ nghỉ này có hồ bơi trong nhà và dịch vụ cho thuê xe hơi. Chỗ nghỉ cung cấp dịch vụ lễ tân 24 giờ, dịch vụ phòng và dịch vụ thu đổi ngoại tệ cho khách. Phòng nghỉ tại Ruby Hotel được bố trí máy điều hòa, khu vực ghế ngồi, TV truyền hình cáp màn hình phẳng, két an toàn và phòng tắm riêng đi kèm vòi sen, dép cùng máy sấy tóc. Các phòng nghỉ tại Ruby Hotel được trang bị ga trải giường và khăn tắm. Chỗ nghỉ phục vụ bữa sáng kiểu lục địa hoặc bữa sáng buffet. Ruby Hotel còn có sân hiên. Viện Hải dương học và quán Sailing Club đều nằm trong bán kính 2 km từ Ruby Hotel. Sân bay gần nhất là sân bay quốc tế Cam Ranh, cách đó 35 km, và khách sạn cung cấp dịch vụ đưa đón sân bay với một khoản phụ phí.",6.8
21,Ruby Hotel,Đà Nẵng,"Nằm trong tòa nhà 8 tầng, Ruby Hotel cung cấp các phòng nghỉ ấm cúng với tầm nhìn ra biển/thành phố tại thành phố Đà Nẵng. Du khách có thể sử dụng Wi-Fi miễn phí ở tất cả các khu vực và chỗ đỗ xe riêng miễn phí. Tất cả các phòng nghỉ rộng rãi tại đây có máy điều hòa, TV truyền hình cáp màn hình phẳng, tủ quần áo và khu vực ghế ngồi. Phòng tắm riêng đi kèm bồn tắm, vòi sen và đồ vệ sinh cá nhân miễn phí. Dép và áo choàng tắm cũng được cung cấp để tạo sự thoải mái cho khách. Trên tầng 2 của khách sạn có bếp chung, nơi du khách có thể tự chế biến bữa ăn. Ruby Hotel có lễ tân 24 giờ, nơi nhân viên có thể cung cấp cho du khách thông tin du lịch, chỗ giữ hành lý và dịch vụ thu đổi ngoại tệ. Ruby Hotel cách Công viên Châu Á 2,4 km, Bảo tàng Chăm 3 km và sân bay quốc tế Đà Nẵng 5 km.",7.4
22,Delistay,Đà Nẵng,"Nằm ở vị trí lý tưởng tại thành phố Đà Nẵng, Delistay có phòng nghỉ gắn máy điều hòa, sảnh khách chung, WiFi miễn phí và vườn. Hostel này cung cấp dịch vụ phòng và tiện nghi BBQ. Chỗ nghỉ cũng có các chương trình giải trí buổi tối và bếp chung. Phòng nghỉ tại Delistay được bố trí bàn làm việc và khu vực ghế ngồi. Du khách có thể chơi ném phi tiêu tại chỗ nghỉ. Delistay nằm cách Bãi biển Thanh Bình 2,9 km và Bảo tàng Chăm 1,7 km. Sân bay gần nhất là sân bay quốc tế Đà Nẵng, nằm trong bán kính 2,9 km từ hostel. Tọa lạc tại vị trí thuận tiện ở thành phố Đà Nẵng, Delistay cung cấp phòng nghỉ có máy điều hòa, phòng khách chung, WiFi miễn phí và vườn. Chỗ nghỉ cách Bảo tàng Chăm khoảng 2,5 km, Cầu tàu Tình Yêu 2,9 km và Công viên Châu Á 6 km. Núi Ngũ Hành Sơn và Núi Sơn Trà cách chỗ nghỉ lần lượt 11 km và 20 km. Mỗi phòng nghỉ tại đây đều có phòng tắm riêng với vòi sen và máy sấy tóc. Các điểm hút khách nổi tiếng gần hostel bao gồm Bãi biển Thanh Bình, trung tâm thương mại Indochina Riverside và Cầu Sông Hàn. Sân bay gần nhất là sân bay quốc tế Đà Nẵng, nằm trong bán kính 4 km từ Delistay.",7.6
23,Villa Tuan Vu Da Lat,Đà Lạt,"Tọa lạc tại Khu Chi Lăng, Villa Miami Da Lat Wonder cung cấp chỗ nghỉ 2 sao với ban công riêng. Chỗ nghỉ có thể bố trí chỗ đỗ xe riêng cho khách với một khoản phụ phí. Tất cả phòng nghỉ tại khách sạn đều được trang bị TV màn hình phẳng. Villa Miami Da Lat Wonder nằm cách thành phố Đà Lạt 5 km. Sân bay gần nhất là sân bay Liên Khương, nằm trong bán kính 25 km từ chỗ nghỉ.",8.4
24,Quynh Mai Resort,Phú Quốc,"Tọa lạc trên đảo Phú Quốc, Quynh Mai Resort có nhà hàng, hồ bơi ngoài trời, sảnh khách chung và vườn. Trong số các tiện nghi của chỗ nghỉ này có dịch vụ phòng, bàn đặt tour và WiFi miễn phí trong toàn bộ khuôn viên. Chỗ nghỉ có lễ tân 24 giờ, bếp chung và dịch vụ thu đổi ngoại tệ cho khách. Mỗi phòng nghỉ tại Quynh Mai Resort đều được trang bị bàn làm việc, TV màn hình phẳng, phòng tắm riêng, ga trải giường, khăn tắm, máy điều hòa và tủ để quần áo. Chỗ nghỉ phục vụ bữa sáng kiểu lục địa và tự chọn hàng ngày. Quynh Mai Resort có sân hiên tắm nắng. Resort nằm cách Bãi Dài 2 m và Chùa Sùng Hưng 7 km.",7.3
25,Q' Garden Homestay Villa,Huế,"Nằm cách Cầu Tràng Tiền 2,9 km, Q' Garden Homestay Villa có quầy bar, sảnh khách chung cũng như chỗ nghỉ gắn máy điều hòa với sân trong và WiFi miễn phí. Mỗi căn tại đây đều có bếp với lò vi sóng cùng tủ lạnh, két an toàn, TV truyền hình vệ tinh màn hình phẳng, tiện nghi ủi, bàn làm việc và khu vực ghế ngồi đi kèm ghế sofa. Một số căn được bố trí phòng tắm riêng với vòi xịt/chậu rửa vệ sinh, dép đi trong phòng, máy sấy tóc và đồ vệ sinh cá nhân miễn phí. Nhà nghỉ B&B này có sân chơi cho trẻ em. Chỗ nghỉ có vườn với tiện nghi BBQ và du khách có thể đi bộ đường dài ở khu vực gần đó. Chùa Chiêu Ứng và Chợ Đông Ba đều nằm trong bán kính 3,2 km từ Q' Garden Homestay Villa. Sân bay gần nhất là sân bay Phú Bài, cách đó 15 km, và chỗ nghỉ cung cấp dịch vụ đưa đón sân bay với một khoản phụ phí.",7
26,The Sóng Vũng Tàu Homestay - Vũng Tàu Land,Vũng Tàu,"Tọa lạc tại thành phố Vũng Tàu, The Sóng Vũng Tàu Homestay - Vũng Tàu Land có nhà hàng, lễ tân 24 giờ, quầy bar, khu vườn, hồ bơi ngoài trời mở cửa quanh năm, sân chơi cho trẻ em và tầm nhìn ra hồ. Trong khuôn viên chỗ nghỉ này có công viên nước và quầy bar thức ăn nhẹ. Mỗi căn tại đây đều được bố trí ghế sofa, khu vực ghế ngồi, TV màn hình phẳng với các kênh truyền hình cáp, bếp đầy đủ tiện nghi với khu vực ăn uống, két an toàn và phòng tắm riêng đi kèm dép đi trong phòng. Tủ lạnh, lò nướng, bếp nấu và ấm đun nước cũng được cung cấp sẵn. Khu vực chăm sóc sức khỏe tại căn hộ có trung tâm thể dục, phòng tắm hammam và phòng xông hơi khô. The Sóng Vũng Tàu Homestay - Vũng Tàu Land có sân hiên tắm nắng cùng sảnh khách chung. Chỗ nghỉ nằm cách Bãi Sau 600 m và Bãi Dứa 2 km. Sân bay gần nhất là sân bay Vũng Tàu, nằm cách The Sóng Vũng Tàu Homestay - Vũng Tàu Land 4 km.",6.2
27,Nam Xuan Premium Hotel,Đà Lạt,"Tọa lạc tại thành phố Đà Lạt, cách sân golf Dalat Palace Golf Club 1,6 km, Nam Xuan Premium Hotel cung cấp chỗ nghỉ với sảnh khách chung, chỗ đỗ xe riêng miễn phí và khu vườn. Chỗ nghỉ này có các phòng gia đình và sân hiên tắm nắng. Chỗ nghỉ cung cấp dịch vụ lễ tân 24 giờ, dịch vụ phòng và dịch vụ thu đổi ngoại tệ cho khách. Tất cả phòng nghỉ tại khách sạn đều có bàn làm việc, TV màn hình phẳng, phòng tắm riêng, ga trải giường và khăn tắm. Các căn được bố trí tủ để quần áo và ấm đun nước. Khu vực này nổi tiếng với hoạt động đi xe đạp và du khách có thể thuê xe hơi tại Nam Xuan Premium Hotel. Chỗ nghỉ nằm trong bán kính 2,3 km từ Vườn hoa Đà Lạt và 2,5 km từ Quảng trường Lâm Viên. Sân bay gần nhất là sân bay Liên Khương, cách Nam Xuan Premium Hotel 30 km, và chỗ nghỉ cung cấp dịch vụ đưa đón sân bay với một khoản phụ phí.",7.5
28,Khách sạn Trung Nhân,Đà Lạt,"Tọa lạc tại thành phố Đà Lạt, cách Quảng Trường Lâm Viên trong vòng 2,1 km và Hồ Xuân Hương 2,3 km, Khách sạn Trung Nhân cung cấp chỗ nghỉ với sân hiên cũng như chỗ đỗ xe riêng miễn phí cho khách lái xe. Trong số các tiện nghi của khách sạn này có nhà hàng, lễ tân 24 giờ, dịch vụ phòng và WiFi miễn phí trong toàn bộ khuôn viên. Khách sạn cung cấp các phòng gia đình. Tất cả phòng nghỉ của Khách sạn Trung Nhân đều được trang bị TV màn hình phẳng và phòng tắm riêng. Khách sạn nằm cách Công viên Yersin 2,4 km và Vườn hoa Đà Lạt 3,6 km. Sân bay gần nhất là sân bay Liên Khương, nằm trong bán kính 30 km từ Khách sạn Trung Nhân.",5.5
